area,bedrooms,garage,cost/m²,type_Apartamento,type_Casa,type_Casa em condomínio,type_Studio e kitnet,valor_regiao
33,1,1,85.03,1,0,0,0,1
45,2,1,69.91,1,0,0,0,0
42,2,1,46.74,1,0,0,0,0
35,0,0,38.51,0,0,0,1,0
47,2,1,47.36,1,0,0,0,0
64,2,1,71.16,1,0,0,0,1
45,2,0,56.53,1,0,0,0,1
34,1,0,81.06,0,0,0,1,1
32,1,0,51.88,0,0,0,1,1
35,1,0,86.8,0,0,0,1,1
45,1,1,118.16,1,0,0,0,1
49,2,0,39.55,1,0,0,0,0
75,3,2,52.57,0,0,1,0,0
57,2,1,42.28,1,0,0,0,0
45,1,1,114.56,1,0,0,0,2
30,1,0,96.83,0,0,0,1,1
51,2,1,60.71,1,0,0,0,1
44,2,1,50.43,1,0,0,0,1
54,2,1,46.63,1,0,0,0,0
42,1,1,111.88,1,0,0,0,2
32,2,0,55.91,1,0,0,0,0
34,1,0,71.76,0,0,0,1,1
50,2,1,74.9,1,0,0,0,1
43,1,0,81.95,1,0,0,0,1
48,1,1,53.65,1,0,0,0,1
45,2,0,39.93,1,0,0,0,0
65,3,1,55.06,1,0,0,0,1
62,2,1,65.79,1,0,0,0,0
75,2,0,46.48,1,0,0,0,0
67,2,1,30.82,1,0,0,0,0
60,2,1,64.97,1,0,0,0,1
39,1,1,50.44,1,0,0,0,0
120,3,1,25.16,0,1,0,0,0
34,1,0,52.53,1,0,0,0,1
42,2,0,23.9,1,0,0,0,0
43,2,1,41.95,1,0,0,0,0
70,2,0,53.44,1,0,0,0,1
43,2,0,46.51,1,0,0,0,0
70,3,1,67.37,1,0,0,0,1
48,1,1,68.52,1,0,0,0,1
49,2,1,64.55,1,0,0,0,1
76,3,0,36.46,1,0,0,0,1
32,1,1,62.47,1,0,0,0,1
40,2,1,46.35,1,0,0,0,0
30,1,0,47.27,0,0,0,1,1
73,3,1,37.86,1,0,0,0,0
50,2,1,72.66,1,0,0,0,1
48,2,1,38.67,1,0,0,0,0
40,2,1,48.6,1,0,0,0,1
40,2,0,57.1,1,0,0,0,1
53,2,1,53.94,1,0,0,0,1
41,2,0,67.05,1,0,0,0,1
57,2,1,35.74,1,0,0,0,1
53,2,1,67.23,1,0,0,0,0
70,2,1,34.07,1,0,0,0,0
69,2,1,61.9,1,0,0,0,1
31,1,1,133.48,0,0,0,1,2
63,2,1,38.33,1,0,0,0,0
70,2,1,46.41,1,0,0,0,1
37,1,0,45.62,0,0,0,1,0
42,2,1,52.95,1,0,0,0,0
50,2,0,59.28,1,0,0,0,1
38,1,1,85.5,1,0,0,0,2
41,1,1,93.44,0,0,0,1,1
31,1,0,132.13,1,0,0,0,1
65,2,1,46.57,1,0,0,0,1
52,3,1,54.46,1,0,0,0,1
30,1,1,104.7,0,0,0,1,2
63,0,0,34.7,0,0,0,1,1
65,3,1,43.85,1,0,0,0,0
80,3,2,34.31,1,0,0,0,0
70,2,1,37.47,1,0,0,0,0
39,1,0,61.28,0,0,0,1,1
72,2,1,67.04,1,0,0,0,1
66,3,1,73.89,1,0,0,0,1
55,2,1,69.15,1,0,0,0,0
55,2,2,51.11,1,0,0,0,1
52,2,1,53.1,1,0,0,0,0
55,2,1,77.65,1,0,0,0,1
72,1,1,102.75,1,0,0,0,1
79,3,2,53.52,1,0,0,0,1
56,2,1,53.36,1,0,0,0,1
58,1,1,93.14,1,0,0,0,2
45,2,0,74.44,1,0,0,0,1
114,2,0,29.72,1,0,0,0,0
59,2,1,40.68,1,0,0,0,0
42,2,1,55.02,1,0,0,0,1
57,2,2,46.46,1,0,0,0,0
67,2,1,58.69,1,0,0,0,1
45,2,0,49.93,1,0,0,0,0
32,1,1,67.25,1,0,0,0,1
70,2,2,90.77,1,0,0,0,1
84,3,1,37.43,1,0,0,0,0
38,1,0,82.92,1,0,0,0,0
35,1,0,77.69,1,0,0,0,1
51,2,1,51.33,1,0,0,0,0
70,3,1,39.0,1,0,0,0,0
45,2,1,47.49,1,0,0,0,0
35,1,1,101.11,1,0,0,0,2
62,3,1,45.16,1,0,0,0,1
106,4,1,41.12,0,1,0,0,0
41,2,0,53.88,1,0,0,0,0
30,1,0,99.23,0,0,0,1,1
50,2,2,68.7,1,0,0,0,0
48,1,1,58.96,1,0,0,0,1
54,2,0,26.7,1,0,0,0,0
58,2,1,51.47,1,0,0,0,1
80,2,1,64.49,1,0,0,0,1
52,2,1,115.5,1,0,0,0,2
70,2,1,50.5,1,0,0,0,0
53,2,1,42.87,1,0,0,0,1
68,3,1,34.01,1,0,0,0,0
30,1,1,76.83,1,0,0,0,1
44,2,1,99.66,1,0,0,0,2
98,3,2,25.5,1,0,0,0,0
69,3,2,56.51,1,0,0,0,1
39,2,1,59.46,1,0,0,0,1
58,1,0,114.22,1,0,0,0,1
38,2,0,57.5,0,1,0,0,1
90,1,1,73.1,1,0,0,0,1
90,2,1,71.13,1,0,0,0,1
33,1,1,117.21,0,0,0,1,2
54,2,1,42.02,1,0,0,0,0
70,3,1,86.91,1,0,0,0,1
30,1,1,96.13,0,0,0,1,2
39,1,1,143.15,1,0,0,0,3
33,1,1,102.42,1,0,0,0,2
78,2,1,45.06,1,0,0,0,0
53,3,1,67.66,0,1,0,0,1
67,2,1,54.3,1,0,0,0,1
87,2,2,70.03,1,0,0,0,1
45,2,1,109.89,1,0,0,0,1
32,1,1,125.31,0,0,0,1,3
56,2,1,29.16,1,0,0,0,0
35,1,1,45.43,0,0,0,1,0
40,1,1,122.2,1,0,0,0,1
85,2,0,27.93,1,0,0,0,0
97,3,2,44.3,1,0,0,0,1
35,1,1,74.69,1,0,0,0,1
77,3,2,69.38,1,0,0,0,1
32,1,0,100.81,1,0,0,0,1
44,1,1,172.91,0,0,0,1,3
49,2,1,47.96,1,0,0,0,0
48,2,0,31.96,1,0,0,0,0
59,2,1,39.66,1,0,0,0,1
33,1,0,42.03,1,0,0,0,0
48,2,1,33.17,1,0,0,0,0
60,2,0,61.68,1,0,0,0,1
48,1,1,123.48,1,0,0,0,2
35,1,0,38.03,1,0,0,0,0
38,1,1,112.5,1,0,0,0,1
34,1,0,45.5,0,0,0,1,1
75,3,2,48.71,1,0,0,0,0
35,1,0,64.74,1,0,0,0,1
35,1,0,61.4,1,0,0,0,1
59,2,1,25.83,1,0,0,0,0
60,1,2,81.95,0,0,0,1,1
62,2,0,60.19,1,0,0,0,1
32,1,1,101.5,1,0,0,0,0
35,2,0,62.77,0,0,0,1,1
55,1,1,56.51,1,0,0,0,1
54,2,1,62.48,1,0,0,0,0
85,2,0,21.35,0,1,0,0,0
35,1,0,75.4,1,0,0,0,1
54,2,1,47.31,1,0,0,0,0
53,1,1,101.96,1,0,0,0,1
40,1,0,31.6,0,1,0,0,0
60,2,1,34.4,1,0,0,0,0
32,1,0,49.75,0,0,0,1,1
45,2,1,39.96,1,0,0,0,0
40,1,0,25.62,0,1,0,0,0
41,1,0,47.05,1,0,0,0,0
30,1,0,61.0,0,0,0,1,1
63,2,1,49.46,1,0,0,0,0
41,2,0,37.76,1,0,0,0,0
54,2,1,48.5,1,0,0,0,0
36,1,1,172.72,1,0,0,0,3
44,2,0,50.07,1,0,0,0,1
35,1,1,90.03,0,0,0,1,1
55,2,1,100.44,1,0,0,0,2
45,2,1,27.38,1,0,0,0,0
47,2,0,41.28,1,0,0,0,1
55,2,2,73.09,1,0,0,0,1
66,2,1,75.71,1,0,0,0,1
60,2,1,58.47,1,0,0,0,1
50,2,1,47.64,1,0,0,0,0
35,1,0,54.94,0,0,0,1,1
66,3,1,46.14,1,0,0,0,0
53,2,1,76.08,1,0,0,0,1
60,2,1,76.23,1,0,0,0,1
